id_anuncio	capacidade	nro_quartos	nro_banheiros	regiao_bairro	tipo_acomodacao	avaliacao_media	distancia_ponto_turistico_km	nro_avaliacoes	possui_piscina	possui_estacionamento	possui_wifi	aceita_animais	politica_cancelamento	idioma_anuncio	tempo_resposta_anfitriao_h	preco_diaria
H000444	6	3	2	Copacabana_RJ	espaco_inteiro	4.62	0.1	183	nao	sim	sim	sim	moderada	portugues	0.8	871.96
H000445	3	2	2	Pinheiros_SP	espaco_inteiro	4.73	0.42	19	sim	sim	sim	nao	moderada	portugues	0.36	917.62
H000446	5	3	2	Asa_Sul_Brasilia_DF	espaco_inteiro	4.24	0.8	86	nao	nao	sim	sim	moderada	ingles	9.92	703.6
H000447	4	1	1	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.9	2.48	89	nao	sim	sim	nao	moderada	portugues	2.22	594.16
H000448	7	4	4	Boa_Viagem_Recife_PE	espaco_inteiro	4.33	1.09	76	sim	nao	sim	nao	flexivel	portugues	0.55	1082.15
H000449	6	3	2	Ipanema_RJ	espaco_inteiro	4.92	3.4	16	sim	sim	sim	nao	flexivel	portugues	1.2	1012.15
H000450	4	4	3	Boa_Viagem_Recife_PE	espaco_inteiro	4.18	2.11	57	nao	sim	sim	sim	flexivel	ingles	1.79	794.99
H000451	2	1	1	Ipanema_RJ	espaco_inteiro	4.38	0.83	56	nao	nao	sim	nao	moderada	portugues	4.96	756.35
H000452	2	1	1	Savassi_BH_MG	quarto_privativo	4.55	3.23	1	nao	sim	sim	nao	flexivel	portugues	4.07	358.81
H000453	1	1	2	Asa_Sul_Brasilia_DF	espaco_inteiro	4.41	2.85	38	nao	sim	sim	nao	rigorosa	portugues	8.01	380.33
H000454	4	2	1	Copacabana_RJ	espaco_inteiro	4.64	0.19	59	nao	nao	sim	sim	moderada	ingles	0.52	835.94
H000455	2	2	1	Ipanema_RJ	espaco_inteiro	4.57	3.52	45	nao	nao	sim	sim	rigorosa	portugues	6.63	793.46
H000456	1	1	1	Copacabana_RJ	quarto_privativo	4.52	1.01	80	nao	nao	sim	nao	rigorosa	portugues	2.92	777.63
H000457	3	2	2	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.57	7.45	38	nao	sim	sim	nao	flexivel	frances	1.43	357.85
H000458	3	1	1	Vila_Madalena_SP	quarto_privativo	4.38	2.9	52	nao	nao	sim	sim	rigorosa	portugues	1.02	797.4
H000459	1	1	1	Pelourinho_Salvador_BA	espaco_inteiro	4.2	2.46	95	nao	nao	sim	nao	flexivel	portugues	0.2	289.61
H000460	2	1	1	Boa_Viagem_Recife_PE	quarto_privativo	4.84	3.85	151	nao	nao	sim	sim	moderada	frances	2.21	627.65
H000461	3	1	1	Centro_SP	espaco_inteiro	4.71	0.2	1	nao	sim	sim	nao	rigorosa	portugues	1.05	451.75
H000462	5	2	2	Copacabana_RJ	espaco_inteiro	4.55	0.11	78	nao	sim	sim	nao	rigorosa	ingles	2.14	610.37
H000463	2	1	1	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.65	0.96	33	nao	sim	sim	nao	flexivel	ingles	0.2	364.89
H000464	3	1	2	Pinheiros_SP	quarto_privativo	4.82	1.79	66	nao	nao	sim	nao	moderada	portugues	3.89	691.4
H000465	2	2	2	Centro_SP	espaco_inteiro	4.4	2.74	1	sim	sim	sim	nao	flexivel	portugues	0.96	783.39
H000466	7	3	3	Asa_Sul_Brasilia_DF	espaco_inteiro	4.46	7.95	112	nao	sim	sim	nao	rigorosa	ingles	0.77	738.94
H000467	4	1	1	Boa_Viagem_Recife_PE	espaco_inteiro	4.67	2.69	25	nao	nao	sim	nao	flexivel	portugues	2.22	660.49
H000468	2	2	2	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.61	1.34	96	nao	sim	sim	nao	moderada	portugues	14.56	565.87
H000469	7	4	3	Copacabana_RJ	espaco_inteiro	4.87	1.71	17	nao	sim	sim	sim	moderada	portugues	0.41	1059.68
H000470	4	2	2	Centro_SP	quarto_privativo	4.69	1.09	1	nao	sim	sim	nao	flexivel	portugues	2.88	696.27
H000471	7	4	2	Vila_Madalena_SP	espaco_inteiro	4.48	1.1	41	nao	nao	sim	sim	moderada	portugues	1.07	946.14
H000472	7	3	1	Vila_Madalena_SP	espaco_inteiro	4.37	3.12	57	nao	nao	sim	nao	moderada	portugues	0.2	669.07
H000473	2	1	1	Ipanema_RJ	quarto_privativo	4.76	4.12	194	nao	nao	sim	nao	moderada	ingles	2.14	881.68
H000474	4	1	1	Copacabana_RJ	espaco_inteiro	4.67	0.1	56	sim	nao	sim	sim	moderada	portugues	1.68	998.15
H000475	6	2	2	Pinheiros_SP	espaco_inteiro	4.48	1.88	19	nao	nao	sim	sim	moderada	portugues	1.93	971.71
H000476	10	4	3	Pinheiros_SP	espaco_inteiro	4.84	3.32	86	nao	sim	sim	nao	moderada	portugues	24.0	1040.24
H000477	4	2	2	Vila_Madalena_SP	espaco_inteiro	4.18	0.13	125	sim	nao	sim	nao	moderada	portugues	1.3	765.91
H000478	2	1	2	Boa_Viagem_Recife_PE	quarto_privativo	4.17	2.45	23	nao	nao	sim	sim	moderada	portugues	0.6	513.11
H000479	2	2	1	Boa_Viagem_Recife_PE	quarto_privativo	4.66	0.68	94	nao	sim	sim	nao	moderada	portugues	2.66	545.11
H000480	1	1	1	Vila_Madalena_SP	quarto_privativo	4.63	0.95	114	nao	nao	sim	nao	moderada	portugues	0.27	706.39
H000481	7	2	1	Vila_Madalena_SP	espaco_inteiro	4.27	4.72	87	nao	sim	sim	nao	flexivel	portugues	10.71	676.99
H000482	7	2	1	Copacabana_RJ	espaco_inteiro	4.88	0.45	28	nao	nao	sim	nao	flexivel	portugues	8.38	913.8
H000483	5	3	2	Centro_SP	espaco_inteiro	4.51	2.44	57	nao	nao	sim	nao	rigorosa	ingles	2.32	608.45
H000484	8	3	1	Pinheiros_SP	espaco_inteiro	4.84	2.8	66	sim	nao	sim	nao	rigorosa	portugues	3.25	1209.42
H000485	4	2	3	Ipanema_RJ	quarto_privativo	4.64	0.71	110	nao	nao	sim	nao	flexivel	portugues	1.81	908.3
H000486	4	2	2	Vila_Madalena_SP	espaco_inteiro	4.57	0.39	30	nao	sim	sim	nao	moderada	portugues	2.6	760.47
H000487	5	3	2	Vila_Madalena_SP	espaco_inteiro	4.54	1.86	95	sim	sim	sim	nao	moderada	portugues	3.55	1133.38
H000488	5	3	3	Copacabana_RJ	espaco_inteiro	4.67	0.89	44	sim	nao	sim	nao	rigorosa	ingles	6.43	1008.54
H000489	6	3	2	Centro_SP	espaco_inteiro	4.37	3.36	37	nao	sim	sim	nao	flexivel	portugues	2.46	534.35
H000490	2	1	1	Centro_SP	espaco_inteiro	4.44	2.99	51	nao	sim	sim	sim	rigorosa	frances	0.88	202.5
H000491	5	2	1	Asa_Sul_Brasilia_DF	espaco_inteiro	4.27	0.44	0	nao	nao	sim	sim	flexivel	portugues	0.41	445.55
H000492	1	1	2	Boa_Viagem_Recife_PE	quarto_privativo	4.46	11.83	0	nao	sim	sim	nao	rigorosa	portugues	1.27	167.17
H000493	8	3	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.19	2.44	0	nao	sim	sim	nao	flexivel	portugues	10.32	472.64
H000494	6	2	2	Pinheiros_SP	espaco_inteiro	4.53	0.56	68	sim	sim	sim	nao	moderada	portugues	5.43	1202.75
H000495	1	1	2	Pelourinho_Salvador_BA	quarto_privativo	4.31	2.38	40	nao	sim	sim	nao	flexivel	portugues	13.34	124.02
H000496	1	1	1	Centro_SP	espaco_inteiro	4.4	1.32	28	nao	nao	sim	nao	flexivel	portugues	5.23	398.15
H000497	5	1	1	Vila_Madalena_SP	espaco_inteiro	4.29	1.1	48	nao	sim	sim	nao	rigorosa	portugues	13.27	543.87
H000498	6	3	3	Boa_Viagem_Recife_PE	espaco_inteiro	4.56	3.55	97	nao	sim	sim	nao	moderada	portugues	4.05	895.09
H000499	5	1	2	Pinheiros_SP	espaco_inteiro	4.76	0.16	46	nao	nao	sim	nao	flexivel	portugues	3.31	907.55
H000500	2	1	1	Centro_SP	quarto_privativo	4.72	9.16	19	nao	sim	sim	nao	rigorosa	portugues	24.0	357.37
H000501	7	4	3	Asa_Sul_Brasilia_DF	espaco_inteiro	4.41	0.4	215	sim	nao	sim	nao	flexivel	portugues	4.04	1047.53
H000502	5	2	2	Savassi_BH_MG	espaco_inteiro	4.42	0.63	49	nao	sim	sim	sim	flexivel	ingles	6.83	593.94
H000503	1	1	2	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.83	11.31	115	nao	sim	sim	sim	flexivel	portugues	0.5	742.27
H000504	1	1	1	Centro_SP	quarto_privativo	4.28	2.29	88	nao	nao	nao	nao	moderada	ingles	2.99	446.42
H000505	8	5	3	Centro_SP	espaco_inteiro	4.87	12.38	35	nao	nao	sim	sim	rigorosa	portugues	1.09	815.81
H000506	4	2	1	Pelourinho_Salvador_BA	quarto_privativo	3.98	0.96	149	nao	nao	sim	sim	flexivel	portugues	1.58	508.46
H000507	5	2	1	Pinheiros_SP	espaco_inteiro	4.16	1.25	30	nao	sim	sim	nao	rigorosa	ingles	2.33	635.68
H000508	3	1	1	Pelourinho_Salvador_BA	quarto_privativo	4.55	1.95	67	nao	sim	sim	nao	flexivel	espanhol	2.32	585.34
H000509	2	1	1	Centro_SP	espaco_inteiro	4.79	1.87	61	nao	sim	sim	nao	flexivel	espanhol	5.93	402.27
H000510	3	1	2	Ipanema_RJ	quarto_privativo	4.82	3.82	65	nao	sim	sim	sim	rigorosa	portugues	7.84	974.44
H000511	5	3	2	Ipanema_RJ	espaco_inteiro	4.55	0.41	133	sim	sim	sim	nao	rigorosa	portugues	1.88	1192.72
H000512	2	1	1	Savassi_BH_MG	espaco_inteiro	4.47	1.77	50	nao	nao	sim	nao	moderada	portugues	0.93	645.96
H000513	1	1	1	Ipanema_RJ	quarto_privativo	4.35	0.15	58	nao	nao	sim	nao	flexivel	ingles	8.41	178.16
H000514	5	3	3	Pinheiros_SP	espaco_inteiro	4.53	2.91	60	nao	sim	sim	nao	flexivel	portugues	3.1	926.71
H000515	9	4	3	Pinheiros_SP	espaco_inteiro	4.65	0.19	189	nao	sim	sim	nao	rigorosa	portugues	16.45	1012.87
H000516	8	2	2	Copacabana_RJ	espaco_inteiro	4.58	0.18	109	nao	sim	sim	nao	moderada	portugues	7.81	735.45
H000517	5	2	1	Pinheiros_SP	espaco_inteiro	4.36	0.42	1	sim	sim	sim	nao	moderada	portugues	1.92	981.18
H000518	2	2	2	Asa_Sul_Brasilia_DF	espaco_inteiro	4.5	5.01	31	nao	nao	nao	nao	flexivel	portugues	10.13	768.43
H000519	4	2	1	Ipanema_RJ	espaco_inteiro	4.89	2.05	53	sim	nao	sim	sim	rigorosa	portugues	8.16	1237.87
H000520	2	2	2	Pelourinho_Salvador_BA	quarto_privativo	4.48	3.97	131	nao	sim	sim	sim	flexivel	portugues	0.97	559.57
H000521	6	2	3	Savassi_BH_MG	espaco_inteiro	4.43	15.0	140	nao	sim	nao	nao	moderada	portugues	0.3	823.74
H000522	2	2	2	Pinheiros_SP	quarto_privativo	4.51	2.64	48	sim	sim	sim	sim	rigorosa	portugues	2.69	799.45
H000523	5	2	1	Copacabana_RJ	espaco_inteiro	4.71	0.81	30	nao	sim	sim	nao	flexivel	portugues	7.52	677.88
H000524	4	4	3	Centro_SP	espaco_inteiro	4.87	2.53	43	sim	nao	sim	sim	moderada	portugues	2.37	911.64
H000525	9	5	3	Ipanema_RJ	espaco_inteiro	4.47	0.63	55	nao	nao	sim	nao	moderada	espanhol	2.3	1069.51
H000526	2	1	1	Pinheiros_SP	espaco_inteiro	4.91	3.64	41	nao	nao	sim	nao	moderada	portugues	0.96	769.3
H000527	2	2	2	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.44	6.08	117	nao	nao	sim	nao	rigorosa	ingles	0.2	432.15
H000528	1	1	2	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.33	1.49	38	sim	sim	sim	nao	moderada	portugues	1.39	462.64
H000529	2	1	1	Pelourinho_Salvador_BA	quarto_privativo	4.62	2.53	24	nao	nao	sim	nao	flexivel	portugues	14.98	267.93
H000530	2	2	1	Pinheiros_SP	quarto_privativo	4.56	0.55	42	nao	nao	sim	sim	moderada	espanhol	1.0	664.68
H000531	1	1	1	Boa_Viagem_Recife_PE	espaco_inteiro	4.84	3.03	63	nao	sim	sim	nao	moderada	portugues	1.36	594.29
H000532	5	3	2	Asa_Sul_Brasilia_DF	espaco_inteiro	4.39	1.38	118	nao	sim	sim	nao	flexivel	portugues	5.87	707.13
H000533	5	2	1	Vila_Madalena_SP	espaco_inteiro	4.68	3.0	22	nao	nao	sim	sim	rigorosa	espanhol	3.59	842.72
H000534	5	3	1	Boa_Viagem_Recife_PE	espaco_inteiro	4.17	6.67	63	nao	nao	sim	sim	flexivel	portugues	1.24	513.14
H000535	1	1	2	Ipanema_RJ	quarto_privativo	4.83	2.61	65	sim	sim	sim	nao	flexivel	portugues	5.8	921.57
H000536	2	1	1	Copacabana_RJ	quarto_privativo	4.93	2.35	74	nao	nao	sim	nao	flexivel	frances	4.71	938.8
H000537	3	1	1	Centro_SP	espaco_inteiro	4.57	0.55	38	nao	nao	sim	nao	rigorosa	portugues	1.14	437.53
H000538	2	1	1	Copacabana_RJ	quarto_privativo	4.89	0.2	73	nao	nao	sim	sim	rigorosa	portugues	6.86	725.71
H000539	1	1	1	Copacabana_RJ	espaco_inteiro	4.36	4.8	86	nao	sim	sim	nao	moderada	ingles	1.67	624.85
H000540	10	5	3	Pelourinho_Salvador_BA	espaco_inteiro	4.72	9.27	37	nao	sim	sim	nao	flexivel	ingles	5.93	716.54
H000541	1	1	1	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.31	3.86	58	nao	nao	sim	nao	rigorosa	portugues	0.72	396.64
H000542	4	1	1	Centro_SP	espaco_inteiro	4.29	2.48	44	nao	sim	sim	nao	rigorosa	portugues	1.93	380.54
H000543	5	2	2	Pelourinho_Salvador_BA	espaco_inteiro	4.69	3.07	27	sim	sim	sim	nao	flexivel	ingles	14.68	882.82
H000544	3	2	2	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.33	6.83	1	nao	nao	sim	nao	moderada	ingles	6.43	435.67
H000545	2	2	1	Copacabana_RJ	espaco_inteiro	4.48	2.36	30	sim	sim	sim	nao	rigorosa	portugues	1.35	930.99
H000546	2	2	1	Vila_Madalena_SP	quarto_privativo	4.59	1.07	32	nao	sim	sim	nao	moderada	portugues	1.29	485.55
H000547	4	3	2	Vila_Madalena_SP	espaco_inteiro	4.95	0.74	1	nao	nao	nao	sim	moderada	portugues	5.92	940.16
H000548	2	1	1	Ipanema_RJ	quarto_privativo	4.4	0.34	69	nao	sim	sim	nao	moderada	portugues	2.84	727.28
H000549	4	1	1	Asa_Sul_Brasilia_DF	quarto_privativo	4.29	5.82	90	nao	nao	sim	nao	flexivel	ingles	0.2	481.94
H000550	5	2	2	Vila_Madalena_SP	espaco_inteiro	4.5	0.13	43	nao	sim	sim	nao	rigorosa	espanhol	1.31	847.21
H000551	7	3	3	Vila_Madalena_SP	espaco_inteiro	4.4	0.33	49	sim	sim	sim	nao	moderada	portugues	1.31	1174.06
H000552	4	1	2	Copacabana_RJ	quarto_privativo	4.93	2.5	34	sim	sim	sim	nao	flexivel	espanhol	1.15	937.29
H000553	3	2	1	Copacabana_RJ	espaco_inteiro	4.69	1.33	46	nao	sim	sim	nao	moderada	ingles	10.22	802.11
H000554	1	1	1	Savassi_BH_MG	espaco_inteiro	4.81	0.9	73	sim	sim	sim	nao	moderada	portugues	6.53	763.6
H000555	1	1	1	Ipanema_RJ	quarto_privativo	4.7	0.21	63	nao	nao	sim	sim	flexivel	espanhol	0.31	672.09
H000556	1	1	1	Copacabana_RJ	quarto_privativo	4.7	5.63	46	nao	nao	sim	nao	moderada	portugues	4.03	443.88
H000557	8	2	2	Pinheiros_SP	espaco_inteiro	4.49	0.24	32	nao	sim	sim	nao	flexivel	espanhol	9.76	658.3
H000558	6	1	1	Centro_SP	espaco_inteiro	4.18	0.59	85	nao	sim	sim	nao	rigorosa	portugues	1.41	728.98
H000559	3	2	1	Centro_SP	espaco_inteiro	4.87	1.03	35	nao	nao	sim	nao	flexivel	portugues	3.84	742.15
H000560	1	1	1	Centro_SP	espaco_inteiro	4.43	4.69	1	nao	sim	sim	nao	flexivel	portugues	21.27	344.16
H000561	9	3	3	Ipanema_RJ	espaco_inteiro	4.26	1.93	55	nao	sim	sim	nao	rigorosa	portugues	7.77	900.34
H000562	5	3	2	Copacabana_RJ	espaco_inteiro	4.82	0.54	0	nao	sim	sim	nao	flexivel	portugues	0.33	776.25
H000563	1	1	1	Savassi_BH_MG	espaco_inteiro	4.69	1.24	61	nao	sim	sim	nao	moderada	portugues	1.44	718.55
H000564	1	1	1	Boa_Viagem_Recife_PE	quarto_privativo	4.42	2.18	65	nao	sim	sim	nao	flexivel	portugues	13.5	194.17
H000565	2	1	1	Boa_Viagem_Recife_PE	espaco_inteiro	4.74	5.75	30	nao	sim	sim	nao	rigorosa	portugues	7.04	538.7
H000566	4	3	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.57	3.5	34	nao	nao	sim	nao	flexivel	portugues	0.42	1005.11
H000567	2	1	1	Pelourinho_Salvador_BA	quarto_privativo	4.56	4.66	94	nao	sim	nao	nao	flexivel	portugues	0.95	424.99
H000568	6	2	2	Ipanema_RJ	espaco_inteiro	4.25	1.1	177	sim	sim	sim	nao	flexivel	portugues	4.63	1320.7
H000569	5	2	2	Pinheiros_SP	espaco_inteiro	4.83	1.24	51	nao	sim	sim	nao	rigorosa	espanhol	1.32	848.63
H000570	6	3	2	Centro_SP	espaco_inteiro	4.87	0.34	30	nao	sim	sim	sim	rigorosa	portugues	9.53	998.05
H000571	2	2	2	Pinheiros_SP	espaco_inteiro	4.8	1.5	65	sim	nao	sim	nao	moderada	portugues	2.04	1282.96
H000572	2	2	2	Savassi_BH_MG	quarto_privativo	4.56	0.47	45	nao	nao	sim	sim	flexivel	portugues	10.8	516.41
H000573	10	4	3	Vila_Madalena_SP	espaco_inteiro	4.67	5.36	62	sim	nao	sim	nao	flexivel	portugues	0.76	1287.12
H000574	1	1	1	Pelourinho_Salvador_BA	espaco_inteiro	4.32	2.69	55	nao	sim	sim	sim	flexivel	portugues	7.88	573.61
H000575	7	3	3	Savassi_BH_MG	espaco_inteiro	4.7	2.97	56	nao	sim	sim	nao	flexivel	portugues	3.96	802.2
H000576	3	1	2	Centro_SP	espaco_inteiro	4.85	10.4	0	nao	sim	sim	sim	rigorosa	portugues	2.16	737.59
H000577	4	2	2	Savassi_BH_MG	quarto_privativo	4.52	7.88	34	nao	sim	sim	nao	flexivel	portugues	1.51	577.08
H000578	8	3	1	Centro_SP	espaco_inteiro	4.82	3.92	31	nao	nao	nao	nao	rigorosa	ingles	9.19	707.71
H000579	4	2	1	Savassi_BH_MG	quarto_privativo	4.37	4.12	31	nao	sim	sim	nao	flexivel	portugues	9.94	494.03
H000580	2	2	1	Pinheiros_SP	espaco_inteiro	4.84	0.6	77	sim	sim	sim	nao	rigorosa	portugues	4.4	1012.82
H000581	3	1	1	Centro_SP	quarto_privativo	4.72	2.2	18	nao	sim	nao	nao	flexivel	portugues	4.93	664.32
H000582	2	1	1	Centro_SP	quarto_privativo	4.44	0.21	0	nao	sim	sim	sim	flexivel	portugues	8.05	452.24
H000583	3	1	2	Ipanema_RJ	espaco_inteiro	4.43	0.75	30	nao	sim	sim	nao	rigorosa	espanhol	3.29	689.31
H000584	4	2	2	Vila_Madalena_SP	espaco_inteiro	4.52	0.38	25	nao	nao	sim	nao	moderada	portugues	1.66	962.28
H000585	2	2	2	Savassi_BH_MG	quarto_privativo	4.28	3.54	51	nao	nao	sim	nao	rigorosa	portugues	2.57	310.84
H000586	3	1	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.61	0.1	25	nao	sim	sim	nao	moderada	portugues	0.67	711.47
H000587	3	1	1	Copacabana_RJ	quarto_privativo	4.54	1.9	40	nao	sim	sim	nao	rigorosa	portugues	10.87	447.5
H000588	3	1	1	Pinheiros_SP	espaco_inteiro	4.75	1.68	35	sim	sim	sim	nao	rigorosa	portugues	5.42	1067.09
H000589	1	1	1	Copacabana_RJ	quarto_privativo	4.68	3.16	114	nao	sim	sim	nao	flexivel	portugues	2.24	806.95
H000590	1	1	1	Ipanema_RJ	espaco_inteiro	4.65	1.2	25	nao	nao	sim	nao	moderada	portugues	4.11	699.69
H000591	9	4	2	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.49	6.08	74	nao	sim	sim	nao	moderada	portugues	0.83	918.05
H000592	5	2	2	Vila_Madalena_SP	espaco_inteiro	4.11	2.38	46	nao	nao	sim	nao	moderada	portugues	0.34	615.92
H000593	2	1	1	Pinheiros_SP	espaco_inteiro	4.86	0.51	95	nao	nao	sim	nao	moderada	portugues	3.19	586.34
H000594	6	2	3	Centro_SP	espaco_inteiro	4.2	3.39	138	nao	sim	sim	sim	flexivel	espanhol	2.98	435.35
H000595	6	3	2	Ipanema_RJ	espaco_inteiro	4.64	3.77	45	nao	nao	sim	nao	rigorosa	portugues	0.37	840.11
H000596	1	1	2	Pinheiros_SP	espaco_inteiro	4.6	1.4	0	nao	nao	sim	nao	moderada	portugues	0.58	687.11
H000597	1	1	1	Asa_Sul_Brasilia_DF	espaco_inteiro	4.54	1.9	18	nao	nao	sim	nao	flexivel	portugues	1.1	363.03
H000598	1	1	1	Boa_Viagem_Recife_PE	quarto_privativo	4.11	7.43	1	nao	sim	sim	nao	rigorosa	ingles	7.11	254.86
H000599	1	1	1	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.44	0.56	34	nao	nao	sim	sim	rigorosa	portugues	0.79	537.32
H000600	6	3	3	Boa_Viagem_Recife_PE	espaco_inteiro	4.43	0.99	29	nao	sim	sim	nao	flexivel	portugues	2.71	886.05
H000601	7	5	3	Vila_Madalena_SP	espaco_inteiro	4.37	0.12	57	sim	sim	sim	nao	flexivel	portugues	5.93	1400.59
H000602	1	1	1	Pelourinho_Salvador_BA	espaco_inteiro	4.27	0.11	90	nao	nao	sim	sim	moderada	portugues	5.83	326.09
H000603	7	2	2	Savassi_BH_MG	espaco_inteiro	4.5	1.34	0	nao	sim	sim	sim	flexivel	portugues	1.81	901.95
H000604	5	1	2	Asa_Sul_Brasilia_DF	espaco_inteiro	4.53	2.01	49	nao	sim	sim	nao	moderada	portugues	1.86	538.03
H000605	4	2	2	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.56	7.24	26	sim	sim	sim	nao	moderada	portugues	0.41	937.41
H000606	6	2	1	Pelourinho_Salvador_BA	espaco_inteiro	4.54	14.93	50	nao	sim	sim	nao	flexivel	portugues	24.0	369.15
H000607	4	2	1	Savassi_BH_MG	espaco_inteiro	4.51	6.23	34	nao	sim	sim	nao	flexivel	portugues	3.4	583.96
H000608	1	1	1	Ipanema_RJ	espaco_inteiro	4.66	0.5	80	sim	sim	sim	nao	flexivel	portugues	6.98	778.86
H000609	2	2	2	Asa_Sul_Brasilia_DF	espaco_inteiro	4.46	0.23	19	nao	sim	sim	nao	flexivel	portugues	0.49	674.43
H000610	10	5	4	Vila_Madalena_SP	espaco_inteiro	4.78	5.64	27	nao	nao	sim	nao	moderada	portugues	18.03	1036.7
H000611	1	1	1	Centro_SP	quarto_privativo	4.61	3.14	43	nao	sim	nao	nao	flexivel	ingles	0.23	164.05
H000612	3	1	2	Boa_Viagem_Recife_PE	quarto_privativo	4.77	3.45	37	nao	nao	sim	nao	rigorosa	portugues	0.66	611.37
H000613	2	1	1	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.01	13.05	43	nao	nao	sim	nao	moderada	portugues	1.59	96.15
H000614	4	2	1	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.2	8.43	1	sim	nao	sim	nao	flexivel	portugues	0.2	721.36
H000615	5	2	2	Pinheiros_SP	espaco_inteiro	4.41	1.08	124	sim	nao	sim	nao	moderada	frances	0.48	1232.41
H000616	5	3	3	Asa_Sul_Brasilia_DF	espaco_inteiro	4.57	10.69	32	nao	nao	sim	nao	flexivel	portugues	2.45	688.18
H000617	7	2	3	Asa_Sul_Brasilia_DF	espaco_inteiro	4.41	0.42	20	nao	sim	sim	sim	flexivel	portugues	1.15	530.58
H000618	7	4	3	Pinheiros_SP	espaco_inteiro	4.07	0.16	44	nao	nao	sim	nao	moderada	portugues	3.92	829.91
H000619	7	3	2	Copacabana_RJ	espaco_inteiro	4.79	0.1	49	sim	nao	sim	nao	flexivel	portugues	6.82	1220.87
H000620	2	1	1	Ipanema_RJ	quarto_privativo	4.39	0.33	161	nao	nao	sim	sim	flexivel	portugues	0.35	563.16
H000621	5	2	2	Pelourinho_Salvador_BA	espaco_inteiro	4.15	4.8	100	nao	sim	sim	nao	flexivel	ingles	1.78	600.59
H000622	3	2	2	Vila_Madalena_SP	espaco_inteiro	4.5	2.5	36	nao	nao	sim	nao	flexivel	espanhol	4.16	581.2
H000623	4	1	1	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.58	0.1	143	nao	nao	sim	nao	moderada	portugues	4.06	853.17
H000624	6	4	3	Vila_Madalena_SP	espaco_inteiro	4.53	1.85	124	nao	sim	sim	nao	rigorosa	portugues	6.99	910.14
H000625	5	2	2	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.44	3.4	20	nao	nao	sim	sim	moderada	ingles	0.36	631.7
H000626	7	4	2	Vila_Madalena_SP	espaco_inteiro	4.14	0.88	186	nao	nao	sim	nao	rigorosa	ingles	6.03	732.78
H000627	2	2	1	Pelourinho_Salvador_BA	espaco_inteiro	4.73	1.43	32	nao	sim	sim	sim	moderada	portugues	4.47	502.6
H000628	3	2	2	Ipanema_RJ	espaco_inteiro	3.99	0.94	53	sim	sim	sim	nao	moderada	portugues	6.71	1030.64
H000629	6	2	2	Centro_SP	espaco_inteiro	4.88	7.15	112	nao	sim	sim	nao	rigorosa	espanhol	3.88	756.81
H000630	1	1	1	Pelourinho_Salvador_BA	quarto_privativo	4.77	0.78	0	nao	nao	sim	nao	flexivel	portugues	2.13	571.14
H000631	1	1	1	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.51	4.86	43	sim	sim	sim	nao	flexivel	portugues	0.74	648.22
H000632	5	2	1	Pelourinho_Salvador_BA	espaco_inteiro	4.43	0.1	60	nao	nao	sim	nao	rigorosa	portugues	8.65	839.13
H000633	1	1	1	Ipanema_RJ	espaco_inteiro	4.76	3.27	98	nao	sim	sim	nao	rigorosa	portugues	1.09	678.2
H000634	9	4	3	Pinheiros_SP	espaco_inteiro	4.6	0.58	47	nao	nao	sim	nao	rigorosa	portugues	2.8	1000.48
H000635	2	1	2	Ipanema_RJ	quarto_privativo	4.74	0.45	0	nao	nao	sim	nao	flexivel	portugues	2.33	913.28
H000636	2	1	1	Ipanema_RJ	espaco_inteiro	4.46	0.16	160	sim	nao	sim	nao	rigorosa	espanhol	10.83	752.81
H000637	3	3	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.95	3.02	49	sim	sim	sim	nao	flexivel	portugues	13.09	974.25
H000638	2	1	1	Asa_Sul_Brasilia_DF	quarto_privativo	4.71	5.75	61	nao	sim	sim	nao	flexivel	espanhol	0.54	528.89
H000639	7	3	2	Pelourinho_Salvador_BA	espaco_inteiro	4.39	2.47	1	nao	nao	sim	nao	rigorosa	ingles	0.76	641.78
H000640	6	2	2	Savassi_BH_MG	espaco_inteiro	4.84	0.1	121	nao	sim	sim	nao	flexivel	ingles	4.72	905.66
